ticker,pdufa_date,market_cap
ATRA,2026-01-10,91543917
LGND,2026-01-13,5571604016
SNY,2026-01-13,92699160352
TVTX,2026-01-13,6230185633
AQST,2026-01-31,633833814
PHAR,2026-01-31,714859056
RGNX,2026-02-08,633396636
MRK,2026-02-20,365832192999
VNDA,2026-02-21,306691365
ETON,2026-02-25,1712415604
ASND,2026-02-28,15398348319
BMRN,2026-02-28,12480668415
SNY,2026-02-28,92699160352
BMY,2026-03-06,135983504698
LNTH,2026-03-06,6574233125
TLX,2026-03-06,
ALDX,2026-03-16,90489633
RYTM,2026-03-20,7396090493
GSK,2026-03-24,74209849823
RCKT,2026-03-28,434158518
LNTH,2026-03-29,6574233125
BIIB,2026-04-03,32194118581
IONS,2026-04-03,10117301827
DNLI,2026-04-05,3834739428
RPRX,2026-04-05,34957370153
MRK,2026-04-07,365832192999
PFE,2026-04-07,158992390413
BMY,2026-04-08,135983504698
REPL,2026-04-10,1460404378
TOVX,2026-04-10,11340079
AKBA,2026-04-13,242163169
LGND,2026-04-13,5571604016
TVTX,2026-04-13,6230185633
VERA,2026-04-13,2305666956
GRCE,2026-04-23,44596175
SNY,2026-04-23,92699160352
SNY,2026-04-27,92699160352
MRK,2026-04-28,365832192999
MGNX,2026-04-29,261170765
SNY,2026-04-29,92699160352
AXSM,2026-04-30,10489782713
HELP,2026-04-30,1917000
ARGX,2026-05-10,56767846752
ZLAB,2026-05-10,23983699703
ABOS,2026-05-24,210804879
APLS,2026-05-24,5252710000
BIIB,2026-05-24,32194118581
BIOA,2026-05-24,443914926
MNKD,2026-05-29,1278139227
CING,2026-05-31,77289808
ARVN,2026-06-05,599591369
RIGL,2026-06-05,868240042
GSK,2026-06-18,74209849823
SPRO,2026-06-18,69881797
KNSA,2026-06-19,6117082799
MRK,2026-06-19,365832192999
UNCY,2026-06-27,147354310
LNTH,2026-06-29,6574233125
UNCY,2026-06-29,147354310
IONS,2026-06-30,10117301827
VRDN,2026-06-30,2089291732
VERA,2026-07-07,2305666956
CORT,2026-07-11,12284301787
CELC,2026-07-17,4340260109
SNSE,2026-07-17,
HEL,2026-07-23,
SNY,2026-07-23,92699160352
MNKD,2026-07-26,1278139227
VTRS,2026-07-30,20709619277
REPL,2026-08-02,1460404378
MRNA,2026-08-05,55106528835
LNTH,2026-08-13,6574233125
BMY,2026-08-17,135983504698
MRK,2026-08-17,365832192999
PFE,2026-08-17,158992390413
CAPR,2026-08-22,555518059
DYN,2026-08-22,4683600861
SVRA,2026-08-22,1089965372
RARE,2026-08-23,2511551608
BIIB,2026-08-24,32194118581
JAZZ,2026-08-25,15929064919
RPRX,2026-08-25,34957370153
ZYME,2026-08-25,1625720000
GILD,2026-08-27,180413464606
TLX,2026-09-11,
GSK,2026-09-18,74209849823
NUVL,2026-09-18,9792582320
RPRX,2026-09-18,34957370153
RARE,2026-09-19,2511551608
MRK,2026-09-21,365832192999
IONS,2026-09-22,10117301827
MIRM,2026-09-26,6354265601
PRAX,2026-09-27,9780790980
BFRI,2026-09-28,23392467
BMY,2026-09-30,135983504698
MRK,2026-10-04,365832192999
MRK,2026-10-10,365832192999
IRD,2026-10-17,307824540
VTRS,2026-10-17,20709619277
IONS,2026-10-26,10117301827
INO,2026-10-30,130797855
AGIO,2026-11-01,2005983144
BTAI,2026-11-14,22502392
CYTK,2026-11-14,10059735031
SMMT,2026-11-14,10937147421
CAPR,2026-11-22,555518059
SVRA,2026-11-22,1089965372
SNY,2026-11-25,92699160352
BBIO,2026-11-27,14984538218
NUVL,2026-11-27,9792582320
RPRX,2026-11-27,34957370153
PYPD,2026-11-28,102472856
COGT,2026-11-30,6035198782
RHHBY,2026-11-30,290629054368
VRTX,2026-11-30,121090567394
ZLAB,2026-11-30,23983699703
EXEL,2026-12-03,13491712747
ANAB,2026-12-12,1643862861
VNDA,2026-12-12,306691365
CORT,2026-12-17,12284301787
RHHBY,2026-12-18,290629054368
MLYS,2026-12-22,2264984368
ACLX,2026-12-23,6729270000
GILD,2026-12-23,180413464606
PRAX,2026-12-27,9780790980
VTRS,2026-12-27,20709619277
COGT,2026-12-30,6035198782
IBRX,2027-01-06,8574181291
DYN,2027-01-21,4683600861
PRAX,2027-01-29,9780790980
BLTE,2027-02-12,6323129108
ARQT,2027-02-23,3002781102
CGEM,2027-02-27,1399071162
APMD,2027-02-28,1246198106
BMRN,2027-02-28,12480668415
SRPT,2027-02-28,2213942393
BMY,2027-03-11,135983504698
MRK,2027-03-22,365832192999
HRMY,2027-04-01,2284031272
PHVS,2027-04-23,2492037665
RPRX,2027-04-23,34957370153
ORGO,2027-04-24,220676846
IMNM,2027-04-28,3133606878
AXSM,2027-05-01,10489782713
BBIO,2027-05-08,14984538218
BMY,2027-05-13,135983504698
ZBIO,2027-05-27,2037310000
UTHR,2027-06-24,21997776801
CAPR,2027-08-22,555518059
